ID,Language_ID,Headword,Part_Of_Speech,Alternative_Pronounciation,Citation_Form,Etymology,Language,Question,Register,Regular_Allomorphs,Stem,Valency
a,ctn,a,interj,ũʔ ; ũ ; u,,,C,,,,,
LX000001,ctn,a,n,,,,N,,,,,
a-,ctn,a-,gm,,,,B,,,,,
LX000002,ctn,a-,gm,,,,C,,,,,
LX000003,ctn,a-,gm,,,,C,,,,,
LX000004,ctn,a-,gm,ai-,,,C,,,,,
LX000005,ctn,ã,interj,a ; aa ; ae ; aẽ ; ah ; au ; aũ ; aɨm ; aɨ̃ ; aɨ̃m ; ãã ; ãh ; ãm ; ãʔ ; ĩʔ ; uʔ ; ũ ; ũh ; ũm ; um̄ ; um ; ũʔ ; ɨ̃ ; ɨ̃ʔ ; ɨ̃ɨ̃ʔ,,,N,,,,,
LX000006,ctn,ã,interj,a ; aʔ ; ãʔ ; aɨ ; ah,,,C/N,,,,,
-a,ctn,-a,gm,,,,C,,,,,
LX000007,ctn,-a,gm,,,,B,,,,,
LX000008,ctn,-a,gm,-ak ; -aʔ ; -haʔ ; -hãʔ ; -ya ; -yaʔ ; -yã,,,C,,,-hã ; -ha ; -h,,
LX000009,ctn,-a,gm,,,,C,,,-ya,,
LX000010,ctn,-a,gm,-ʌ,,,N,,,,,
LX000011,ctn,-a,gm,-ʌ,,,N,,,-u,,
LX000012,ctn,-a,gm,,,,N,,,,,
LX000013,ctn,-ã,gm,-a ; -ʌ̃ ; -ʌ,,,N,,,,,
LX000014,ctn,aã,interj,,,,C/N,,,,,
LX000015,ctn,ãba,n,aba,,,C/N,,,,,
abadhi,ctn,abadhi,n,abadi,,,N,,,,,
LX000016,ctn,abaraŋ,n,abaraŋ,,,N,,,,,
abardebar,ctn,abardebar,adv,,,,N,,ritual,,,
abasar,ctn,abasar,n,awasar,,,N,,,,,
abastha,ctn,abastha,n,awasta,,,N,,,,,
abela,ctn,abela,adv,,,,N,,,,,
abijal,ctn,abijal,n,ʌbijal,,,N,,,,,
abinas,ctn,abinas,n,abinash,,,N,,,,,
abir,ctn,abir,n,,,,N,,,,,
abire,ctn,abire,n,,,,C,,,,,
abo,ctn,abo,adv,aba ; abaʔ ; ʌbʌ ; aboʔ,,,N,,,,,
abui,ctn,abui,interj,abbhui ; abbui ; abbuĩ ; abhai ; abhi ; abhui ; abhuĩ ; abi ; abuĩ ; abɨi ; appai ; apphai ; appui ; apui,,,N,,,,,
abhab,ctn,abhab,n,,,,N,,,,,
abhagi,ctn,abhagi,adj,,,,N,,,,,
abhasi,ctn,abhasi,n,,,,N,,,,,
abhibhara,ctn,abhibhara,n,abibhara,,,N,,,,,
abhibhawak,ctn,abhibhawak,n,abhiwawak,,,N,,,,,
abhisan,ctn,abhisan,n,,,,N,,,,,
aca,ctn,aca,interj,acya,,,N,,,,,
acamma,ctn,acamma,n,accamma,,,N,,,,,
acanak,ctn,acanak,adj,,,,N,,,,,
acanu,ctn,acanu,n,acana,,,N,,,,,
acar,ctn,acar,n,ʌcar ; accar,,,N,,,,,
LX000017,ctn,accakaʔli,adv,,,,N,,,,,
accame,ctn,accame,n,acchame,,,C,ultimate etymology remains unclear.,,,,
accha,ctn,accha,adj,aʔcha,,,H,,,,,
acchi,ctn,acchi,interj,accha ; acci ; achi ; atcheya ; aʔchi ; chaya ; chet ; cheya ; chi ; chichik ; chichiʔ ; chichi ; chiya ; chiyaʔ ; chiʔ ; chiʔchi ; chya ; chyaʔ ; chu,,,N,,,,,
acchosa,ctn,acchosa,adv,,,,B,,,,,
acchu,ctn,acchu,interj,acca ; accha ; acchacha ; acchau ; acchi ; acci ; acha ; accu ; acu ; achuchu ; aʔchuchu ; aʔcha,,,N,,,,,
acikali,ctn,acikali,adv,accakali ; ackali ; ajakali ; ajholi ; ajikali ; ajjoli ; ajkali ; ajowali ; ajukali ; ʌjkʌl,,,C/N,,,,,
achapicha,ctn,achapicha,n,,,,C,precise meaning of this entry remains to be established,ritual,,,
acheta,ctn,acheta,n,achitta ; achetta,,,N,,,,,
LX000018,ctn,achimmanɨŋ,adv,acchimaʔnɨŋ ; acchimanɨŋ,,,C,,,,,
adabange,ctn,adabange,adj,adbeŋge,,,N,,,,,
adanpradan,ctn,adanpradan,n,,,,N,,,,,
adar,ctn,adar,n,,,,N,,,,,
addawa,ctn,addawa,adv,,,,N,Etymology remains unclear.,,,,
ademca,ctn,ademca,n,,,,C,,,,,
LX000019,ctn,adeŋ,adv,,,,B,,,,,
adi,ctn,adi,none,,,,N,,,,,
LX000020,ctn,adi,n,adhi,,,B,,,,,
adkaunu,ctn,adkaunu,vt,,,,N,,,adka,adkau,
